,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
0,512,32,5,12.089855194091797,14059,66312,L40S
1,4096,8,2,9.375743865966797,14059,66312,L40S
2,64,1,1,14.270463943481445,14059,66312,L40S
3,256,16,2,12.131327629089355,14059,66312,L40S
4,128,32,2,30.485504150390625,14059,66312,L40S
5,1024,4,5,10.604543685913086,14059,66312,L40S
6,32,32,2,111.85254669189453,14059,66312,L40S
7,4096,8,4,9.385472297668457,14059,66312,L40S
8,2048,8,3,9.633279800415039,14059,66312,L40S
9,2048,1,2,9.569791793823242,14059,66312,L40S
10,4096,8,0,2.9183998107910156,14059,66312,L40S
11,1024,8,0,2.9480960369110107,14059,66312,L40S
12,16,8,0,2.944000005722046,14059,66312,L40S
13,4096,2,0,2.999807834625244,14059,66312,L40S
14,8192,8,0,3.274751901626587,14059,66312,L40S
15,4096,16,0,3.0018558502197266,14059,66312,L40S
16,512,8,0,2.7289600372314453,14059,66312,L40S
17,128,8,0,2.737152099609375,14059,66312,L40S
18,32,8,0,2.7315359115600586,14059,66312,L40S
19,32,4,2,2.7310080528259277,14059,66312,L40S
20,32,4,5,2.7299840450286865,14059,66312,L40S
21,128,4,4,2.728895902633667,14059,66312,L40S
22,32,1,1,3.3556480407714844,14059,66312,L40S
23,128,4,0,2.7289600372314453,14059,66312,L40S
24,32,4,0,2.7248640060424805,14059,66312,L40S
25,32,4,3,2.8088319301605225,14059,66312,L40S
26,128,1,2,2.7781119346618652,14059,66312,L40S
27,2048,32,1,2.7340800762176514,14059,66312,L40S
28,128,8,1,2.870271921157837,14059,66312,L40S
29,2048,32,4,2.742784023284912,14059,66312,L40S
30,64,32,4,2.7750401496887207,14059,66312,L40S
31,8192,4,2,2.736095905303955,14059,66312,L40S
32,32,1,2,2.7489280700683594,14059,66312,L40S
33,2048,32,2,2.747904062271118,14059,66312,L40S
34,64,2,1,2.7545599937438965,14059,66312,L40S
35,512,32,5,1.9845119714736938,4886,32250,L40S
36,4096,8,2,1.610751986503601,4886,32250,L40S
37,64,1,1,2.135040044784546,4886,32250,L40S
38,256,16,2,1.8421759605407715,4886,32250,L40S
39,128,32,2,5.2500481605529785,4886,32250,L40S
40,1024,4,5,1.793023943901062,4886,32250,L40S
41,32,32,2,18.792448043823242,4886,32250,L40S
42,4096,8,4,1.6117759943008423,4886,32250,L40S
43,2048,8,3,1.6721919775009155,4886,32250,L40S
44,2048,1,2,1.7305599451065063,4886,32250,L40S
45,4096,8,3,3.403775930404663,4886,32250,L40S
46,1024,8,1,3.1098880767822266,4886,32250,L40S
47,512,32,5,2.8538880348205566,13310,18042,L40S
48,4096,8,2,2.5113601684570312,13310,18042,L40S
49,64,1,1,3.083263874053955,13310,18042,L40S
50,256,16,2,2.6449921131134033,13310,18042,L40S
51,128,32,2,7.840767860412598,13310,18042,L40S
52,1024,4,5,2.6470398902893066,13310,18042,L40S
53,32,32,2,28.74470329284668,13310,18042,L40S
54,4096,8,4,2.510848045349121,13310,18042,L40S
55,2048,8,3,2.524127960205078,13310,18042,L40S
56,2048,1,2,2.600895881652832,13310,18042,L40S
57,4096,8,0,2.7832319736480713,13310,18042,L40S
58,4096,8,3,2.781183958053589,13310,18042,L40S
59,16,4,5,3.2931840419769287,13310,18042,L40S
60,1024,2,5,2.8231680393218994,13310,18042,L40S
61,8192,8,4,2.668544054031372,13310,18042,L40S
62,32,8,2,2.668032169342041,13310,18042,L40S
63,512,8,2,3.1784958839416504,13310,18042,L40S
64,128,8,4,2.678783893585205,13310,18042,L40S
65,512,32,5,3.140608072280884,5539,44084,L40S
66,4096,8,2,2.421247959136963,5539,44084,L40S
67,64,1,1,3.5348479747772217,5539,44084,L40S
68,256,16,2,2.953728199005127,5539,44084,L40S
69,128,32,2,8.101887702941895,5539,44084,L40S
70,1024,4,5,2.815999984741211,5539,44084,L40S
71,32,32,2,29.222911834716797,5539,44084,L40S
72,4096,8,4,2.4191999435424805,5539,44084,L40S
73,2048,8,3,2.5410561561584473,5539,44084,L40S
74,2048,1,2,2.535935878753662,5539,44084,L40S
75,4096,8,0,3.506175994873047,5539,44084,L40S
76,8192,8,4,2.706943988800049,5539,44084,L40S
77,16,8,2,2.7161598205566406,5539,44084,L40S
78,1024,2,5,2.7202558517456055,5539,44084,L40S
79,1024,1,0,2.824687957763672,5539,44084,L40S
80,2048,2,2,2.7089920043945312,5539,44084,L40S
81,256,4,5,2.7243518829345703,5539,44084,L40S
82,128,8,4,2.964479923248291,5539,44084,L40S
83,512,32,5,1.4561280012130737,2313,47601,L40S
84,4096,8,2,1.0711040496826172,2313,47601,L40S
85,64,1,1,1.6532479524612427,2313,47601,L40S
86,256,16,2,1.4284800291061401,2313,47601,L40S
87,128,32,2,3.7857279777526855,2313,47601,L40S
88,1024,4,5,1.2999680042266846,2313,47601,L40S
89,32,32,2,13.26591968536377,2313,47601,L40S
90,4096,8,4,1.0721280574798584,2313,47601,L40S
91,2048,8,3,1.1315200328826904,2313,47601,L40S
92,2048,1,2,1.154047966003418,2313,47601,L40S
93,4096,8,3,2.8728320598602295,2313,47601,L40S
94,2048,2,4,2.7136001586914062,2313,47601,L40S
95,512,32,5,5.444608211517334,8535,50779,L40S
96,4096,8,2,4.312064170837402,8535,50779,L40S
97,64,1,1,6.305791854858398,8535,50779,L40S
98,256,16,2,5.311488151550293,8535,50779,L40S
99,128,32,2,14.181375503540039,8535,50779,L40S
100,1024,4,5,4.9146881103515625,8535,50779,L40S
101,32,32,2,51.79084777832031,8535,50779,L40S
102,4096,8,4,4.325376033782959,8535,50779,L40S
103,2048,8,3,4.471296310424805,8535,50779,L40S
104,2048,1,2,4.459519863128662,8535,50779,L40S
105,4096,8,3,3.3679039478302,8535,50779,L40S
106,16,8,3,2.6664960384368896,8535,50779,L40S
107,16,2,3,2.6608638763427734,8535,50779,L40S
108,16,4,3,2.663936138153076,8535,50779,L40S
109,8192,2,3,2.6695680618286133,8535,50779,L40S
110,1024,2,0,2.6726560592651367,8535,50779,L40S
111,32,2,3,2.6670079231262207,8535,50779,L40S
112,4096,16,2,2.795520067214966,8535,50779,L40S
113,512,2,3,2.668032169342041,8535,50779,L40S
114,256,16,1,2.75763201713562,8535,50779,L40S
115,32,4,5,2.6557440757751465,8535,50779,L40S
116,128,4,5,2.659855842590332,8535,50779,L40S
117,64,2,3,2.669055938720703,8535,50779,L40S
118,32,1,5,3.0269761085510254,8535,50779,L40S
119,128,4,3,2.6859519481658936,8535,50779,L40S
120,128,16,2,2.6818559169769287,8535,50779,L40S
121,32,16,2,2.6951680183410645,8535,50779,L40S
122,128,16,1,2.6746881008148193,8535,50779,L40S
123,2048,32,2,2.8088319301605225,8535,50779,L40S
124,2048,16,2,2.653183937072754,8535,50779,L40S
125,256,2,0,2.6603519916534424,8535,50779,L40S
126,256,32,3,2.6552319526672363,8535,50779,L40S
127,32,16,4,2.7643041610717773,8535,50779,L40S
128,2048,16,1,2.7904000282287598,8535,50779,L40S
129,4096,16,1,2.748415946960449,8535,50779,L40S
130,128,2,0,2.697728157043457,8535,50779,L40S
131,2048,16,5,3.3454079627990723,8535,50779,L40S
132,32,1,0,2.712575912475586,8535,50779,L40S
133,2048,32,3,2.6767361164093018,8535,50779,L40S
134,1024,16,1,2.697216033935547,8535,50779,L40S
135,512,32,5,6.228928089141846,8812,55650,L40S
136,4096,8,2,4.9791998863220215,8812,55650,L40S
137,64,1,1,6.776832103729248,8812,55650,L40S
138,256,16,2,6.012928009033203,8812,55650,L40S
139,128,32,2,16.012798309326172,8812,55650,L40S
140,1024,4,5,5.47327995300293,8812,55650,L40S
141,32,32,2,58.605567932128906,8812,55650,L40S
142,4096,8,4,4.977663993835449,8812,55650,L40S
143,2048,8,3,5.05241584777832,8812,55650,L40S
144,2048,1,2,5.087743759155273,8812,55650,L40S
145,4096,8,0,2.815999984741211,8812,55650,L40S
146,8192,8,0,2.766848087310791,8812,55650,L40S
147,16,8,0,2.6736960411071777,8812,55650,L40S
148,1024,8,0,2.658815860748291,8812,55650,L40S
149,1024,2,5,2.7919199466705322,8812,55650,L40S
150,512,8,0,2.6890079975128174,8812,55650,L40S
151,256,8,0,3.329040050506592,8812,55650,L40S
152,1024,8,5,2.6859519481658936,8812,55650,L40S
153,32,1,4,2.6946558952331543,8812,55650,L40S
154,64,8,1,2.6808319091796875,8812,55650,L40S
155,32,16,0,2.7013120651245117,8812,55650,L40S
156,32,8,1,2.6751999855041504,8812,55650,L40S
157,32,32,4,2.721280097961426,8812,55650,L40S
158,4096,32,2,2.6603519916534424,8812,55650,L40S
159,512,32,5,0.30928000807762146,3066,7503,L40S
160,4096,8,2,0.22630399465560913,3066,7503,L40S
161,64,1,1,0.3235839903354645,3066,7503,L40S
162,256,16,2,0.2805759906768799,3066,7503,L40S
163,128,32,2,0.7761920094490051,3066,7503,L40S
164,1024,4,5,0.26316800713539124,3066,7503,L40S
165,32,32,2,2.770944118499756,3066,7503,L40S
166,4096,8,4,0.22630399465560913,3066,7503,L40S
167,2048,8,3,0.24375998973846436,3066,7503,L40S
168,2048,1,2,0.24883200228214264,3066,7503,L40S
169,4096,8,0,2.6567678451538086,3066,7503,L40S
170,4096,2,3,2.6460161209106445,3066,7503,L40S
171,512,32,5,0.3123199939727783,5322,4212,L40S
172,4096,8,2,0.23449599742889404,5322,4212,L40S
173,64,1,1,0.31436800956726074,5322,4212,L40S
174,256,16,2,0.2754560112953186,5322,4212,L40S
175,128,32,2,0.7639039754867554,5322,4212,L40S
176,1024,4,5,0.2590720057487488,5322,4212,L40S
177,32,32,2,2.7156479358673096,5322,4212,L40S
178,4096,8,4,0.23449599742889404,5322,4212,L40S
179,2048,8,3,0.2457599937915802,5322,4212,L40S
180,2048,1,2,0.2457599937915802,5322,4212,L40S
181,4096,8,0,2.6967039108276367,5322,4212,L40S
182,4096,2,2,2.7043840885162354,5322,4212,L40S
183,512,32,5,2.061311960220337,14790,12000,L40S
184,4096,8,2,1.8657280206680298,14790,12000,L40S
185,64,1,1,2.2824959754943848,14790,12000,L40S
186,256,16,2,1.938431978225708,14790,12000,L40S
187,128,32,2,5.801983833312988,14790,12000,L40S
188,1024,4,5,1.9179519414901733,14790,12000,L40S
189,32,32,2,21.170175552368164,14790,12000,L40S
190,4096,8,4,1.8657280206680298,14790,12000,L40S
191,2048,8,3,1.8595839738845825,14790,12000,L40S
192,2048,1,2,1.908735990524292,14790,12000,L40S
193,8192,8,3,2.7627358436584473,14790,12000,L40S
194,2048,8,0,2.746367931365967,14790,12000,L40S
195,16,8,3,2.7648000717163086,14790,12000,L40S
196,1024,2,5,2.7386879920959473,14790,12000,L40S
197,2048,16,5,2.7100160121917725,14790,12000,L40S
198,128,8,4,2.7059199810028076,14790,12000,L40S
199,32,4,5,2.718719959259033,14790,12000,L40S
200,2048,4,2,2.6849279403686523,14790,12000,L40S
201,4096,8,1,2.677760124206543,14790,12000,L40S
202,512,32,5,3.246079921722412,15370,17670,L40S
203,4096,8,2,2.836479902267456,15370,17670,L40S
204,64,1,1,3.527679920196533,15370,17670,L40S
205,256,16,2,2.994175910949707,15370,17670,L40S
206,128,32,2,8.876031875610352,15370,17670,L40S
207,1024,4,5,2.9972479343414307,15370,17670,L40S
208,32,32,2,32.37580871582031,15370,17670,L40S
209,4096,8,4,2.8395519256591797,15370,17670,L40S
210,2048,8,3,2.860032081604004,15370,17670,L40S
211,2048,1,2,2.9327359199523926,15370,17670,L40S
212,4096,8,0,2.6849441528320312,15370,17670,L40S
213,8192,8,0,2.6757121086120605,15370,17670,L40S
214,16,8,0,2.7351040840148926,15370,17670,L40S
215,512,2,0,2.7095041275024414,15370,17670,L40S
216,64,2,5,3.487744092941284,15370,17670,L40S
217,32,8,0,2.73305606842041,15370,17670,L40S
218,512,1,0,2.7392001152038574,15370,17670,L40S
219,128,8,4,2.7678720951080322,15370,17670,L40S
220,512,16,0,2.746367931365967,15370,17670,L40S
221,32,16,0,2.7688961029052734,15370,17670,L40S
222,128,32,0,2.7453439235687256,15370,17670,L40S
223,256,1,5,2.7258880138397217,15370,17670,L40S
224,512,32,5,6.172671794891357,16363,31350,L40S
225,4096,8,2,5.191136360168457,16363,31350,L40S
226,64,1,1,6.975488185882568,16363,31350,L40S
227,256,16,2,5.800960063934326,16363,31350,L40S
228,128,32,2,16.703487396240234,16363,31350,L40S
229,1024,4,5,5.786111831665039,16363,31350,L40S
230,32,32,2,61.1143684387207,16363,31350,L40S
231,4096,8,4,5.196800231933594,16363,31350,L40S
232,2048,8,3,5.338111877441406,16363,31350,L40S
233,2048,1,2,5.296127796173096,16363,31350,L40S
234,4096,8,0,2.840575933456421,16363,31350,L40S
235,8192,8,0,2.8190720081329346,16363,31350,L40S
236,16,8,0,3.4560000896453857,16363,31350,L40S
237,1024,8,0,2.7156479358673096,16363,31350,L40S
238,64,2,5,2.7238399982452393,16363,31350,L40S
239,64,1,5,2.770944118499756,16363,31350,L40S
240,64,16,2,2.712575912475586,16363,31350,L40S
241,32,16,2,2.708479881286621,16363,31350,L40S
242,128,16,2,2.7607040405273438,16363,31350,L40S
243,32,2,5,2.727936029434204,16363,31350,L40S
244,512,16,4,2.7115519046783447,16363,31350,L40S
245,512,2,5,2.722815990447998,16363,31350,L40S
246,128,8,5,2.698751926422119,16363,31350,L40S
247,128,4,0,2.6961917877197266,16363,31350,L40S
248,32,4,0,2.770944118499756,16363,31350,L40S
249,512,2,0,3.443711996078491,16363,31350,L40S
250,256,8,5,2.7289600372314453,16363,31350,L40S
251,32,16,1,2.7197439670562744,16363,31350,L40S
252,32,8,2,2.747391939163208,16363,31350,L40S
253,128,4,1,2.7115519046783447,16363,31350,L40S
254,128,1,5,2.7934720516204834,16363,31350,L40S
255,16,16,5,2.771967887878418,16363,31350,L40S
256,2048,8,5,2.724832057952881,16363,31350,L40S
257,128,4,3,2.713599920272827,16363,31350,L40S
258,512,32,5,5.240799903869629,16381,26936,L40S
259,4096,8,2,4.477952003479004,16381,26936,L40S
260,64,1,1,5.951488018035889,16381,26936,L40S
261,256,16,2,4.9443840980529785,16381,26936,L40S
262,128,32,2,14.343679428100586,16381,26936,L40S
263,1024,4,5,4.9541120529174805,16381,26936,L40S
264,32,32,2,52.44518280029297,16381,26936,L40S
265,4096,8,4,4.482048034667969,16381,26936,L40S
266,2048,8,3,4.595200061798096,16381,26936,L40S
267,2048,1,2,4.569087982177734,16381,26936,L40S
268,4096,8,0,2.736128091812134,16381,26936,L40S
269,8192,8,0,2.7161600589752197,16381,26936,L40S
270,16,8,0,3.422208070755005,16381,26936,L40S
271,1024,8,0,2.7740159034729004,16381,26936,L40S
272,1024,2,5,2.7115519046783447,16381,26936,L40S
273,256,2,5,2.7197439670562744,16381,26936,L40S
274,1024,16,5,2.743295907974243,16381,26936,L40S
275,8192,8,5,2.736128091812134,16381,26936,L40S
276,512,2,0,2.7146239280700684,16381,26936,L40S
277,32,2,0,2.8385279178619385,16381,26936,L40S
278,32,8,2,2.692095994949341,16381,26936,L40S
279,128,4,4,2.702336072921753,16381,26936,L40S
280,128,1,4,2.7059199810028076,16381,26936,L40S
281,128,4,2,2.6956801414489746,16381,26936,L40S
282,128,8,4,2.698240041732788,16381,26936,L40S
283,64,8,1,3.3751039505004883,16381,26936,L40S
284,2048,2,0,2.732032060623169,16381,26936,L40S
285,8192,8,1,2.770944118499756,16381,26936,L40S
286,128,1,3,2.7351040840148926,16381,26936,L40S
287,32,4,5,2.777087926864624,16381,26936,L40S
288,64,32,5,2.7197439670562744,16381,26936,L40S
289,512,32,5,0.07782399654388428,125,16261,L40S
290,4096,8,2,0.07168000191450119,125,16261,L40S
291,64,1,1,0.03174399957060814,125,16261,L40S
292,256,16,2,0.04198399931192398,125,16261,L40S
293,128,32,2,0.08191999793052673,125,16261,L40S
294,1024,4,5,0.03174399957060814,125,16261,L40S
295,32,32,2,0.26316800713539124,125,16261,L40S
296,4096,8,4,0.07168000191450119,125,16261,L40S
297,2048,8,3,0.043007999658584595,125,16261,L40S
298,2048,1,2,0.05119999870657921,125,16261,L40S
299,64,2,1,2.7566239833831787,125,16261,L40S
300,1024,4,0,2.7781119346618652,125,16261,L40S
301,16,4,5,2.706943988800049,125,16261,L40S
302,512,32,5,0.47308799624443054,15014,2475,L40S
303,4096,8,2,0.4126720130443573,15014,2475,L40S
304,64,1,1,0.49663999676704407,15014,2475,L40S
305,256,16,2,0.43110400438308716,15014,2475,L40S
306,128,32,2,1.2390400171279907,15014,2475,L40S
307,1024,4,5,0.4188160002231598,15014,2475,L40S
308,32,32,2,4.463615894317627,15014,2475,L40S
309,4096,8,4,0.4126720130443573,15014,2475,L40S
310,2048,8,3,0.40755200386047363,15014,2475,L40S
311,2048,1,2,0.40959998965263367,15014,2475,L40S
312,8192,8,3,3.5532801151275635,15014,2475,L40S
313,2048,8,0,2.781183958053589,15014,2475,L40S
314,2048,2,3,3.609600067138672,15014,2475,L40S
315,16,4,5,3.625983953475952,15014,2475,L40S
316,128,8,3,4.311039924621582,15014,2475,L40S
317,2048,4,2,3.590143918991089,15014,2475,L40S
318,128,4,4,3.5737600326538086,15014,2475,L40S
319,128,8,4,4.078591823577881,15014,2475,L40S
320,2048,4,3,3.5696640014648438,15014,2475,L40S
321,512,32,5,6.087679862976074,16154,30624,L40S
322,4096,8,2,5.128704071044922,16154,30624,L40S
323,64,1,1,6.605311870574951,16154,30624,L40S
324,256,16,2,5.5808000564575195,16154,30624,L40S
325,128,32,2,16.178688049316406,16154,30624,L40S
326,1024,4,5,5.57260799407959,16154,30624,L40S
327,32,32,2,59.0274543762207,16154,30624,L40S
328,4096,8,4,5.139455795288086,16154,30624,L40S
329,2048,8,3,5.16044807434082,16154,30624,L40S
330,2048,1,2,5.323775768280029,16154,30624,L40S
331,4096,8,3,2.7740159034729004,16154,30624,L40S
332,16,8,3,2.7745280265808105,16154,30624,L40S
333,8192,8,3,2.8098559379577637,16154,30624,L40S
334,1024,8,3,2.7991199493408203,16154,30624,L40S
335,1024,2,5,3.1652159690856934,16154,30624,L40S
336,32,8,3,3.507200002670288,16154,30624,L40S
337,128,8,3,3.5491840839385986,16154,30624,L40S
338,32,2,5,3.5921919345855713,16154,30624,L40S
339,512,8,3,4.217919826507568,16154,30624,L40S
340,1024,8,1,3.507200002670288,16154,30624,L40S
341,128,2,1,3.4959359169006348,16154,30624,L40S
342,512,32,5,0.971776008605957,16331,5080,L40S
343,4096,8,2,0.8960000276565552,16331,5080,L40S
344,64,1,1,1.07315194606781,16331,5080,L40S
345,256,16,2,0.9103360176086426,16331,5080,L40S
346,128,32,2,2.7258880138397217,16331,5080,L40S
347,1024,4,5,0.9093120098114014,16331,5080,L40S
348,32,32,2,9.923583984375,16331,5080,L40S
349,4096,8,4,0.8929280042648315,16331,5080,L40S
350,2048,8,3,0.8847360014915466,16331,5080,L40S
351,2048,1,2,0.8673279881477356,16331,5080,L40S
352,2048,1,0,2.7253761291503906,16331,5080,L40S
353,8192,1,2,2.805759906768799,16331,5080,L40S
354,2048,1,3,2.8544158935546875,16331,5080,L40S
355,2048,1,5,2.7059199810028076,16331,5080,L40S
356,2048,2,3,3.1487998962402344,16331,5080,L40S
357,16,4,5,2.7156479358673096,16331,5080,L40S
358,128,8,4,2.7197439670562744,16331,5080,L40S
359,128,1,2,2.7105278968811035,16331,5080,L40S
360,128,32,5,2.742271900177002,16331,5080,L40S
361,1024,2,4,2.718719959259033,16331,5080,L40S
362,512,32,5,0.07168000191450119,10009,352,L40S
363,4096,8,2,0.04505600035190582,10009,352,L40S
364,64,1,1,0.05427199974656105,10009,352,L40S
365,256,16,2,0.058368001133203506,10009,352,L40S
366,128,32,2,0.14131200313568115,10009,352,L40S
367,1024,4,5,0.04915200173854828,10009,352,L40S
368,32,32,2,0.4423680007457733,10009,352,L40S
369,4096,8,4,0.04608000069856644,10009,352,L40S
370,2048,8,3,0.048128001391887665,10009,352,L40S
371,2048,1,2,0.04198399931192398,10009,352,L40S
372,16,1,2,2.726912021636963,10009,352,L40S
373,2048,1,0,2.6977438926696777,10009,352,L40S
374,2048,2,2,2.6941440105438232,10009,352,L40S
375,8192,8,5,2.701824188232422,10009,352,L40S
376,16,2,0,2.6992640495300293,10009,352,L40S
377,16,4,5,3.117568016052246,10009,352,L40S
378,1024,2,0,2.7054080963134766,10009,352,L40S
379,8192,1,0,2.708479881286621,10009,352,L40S
380,32,8,3,2.708479881286621,10009,352,L40S
381,16,8,4,2.890752077102661,10009,352,L40S
382,512,32,5,0.1443839967250824,8598,1188,L40S
383,4096,8,2,0.11980800330638885,8598,1188,L40S
384,64,1,1,0.14028799533843994,8598,1188,L40S
385,256,16,2,0.1382399946451187,8598,1188,L40S
386,128,32,2,0.3553760051727295,8598,1188,L40S
387,1024,4,5,0.12492799758911133,8598,1188,L40S
388,32,32,2,1.240064024925232,8598,1188,L40S
389,4096,8,4,0.11980800330638885,8598,1188,L40S
390,2048,8,3,0.1228799968957901,8598,1188,L40S
391,2048,1,2,0.11673600226640701,8598,1188,L40S
392,16,1,2,2.742271900177002,8598,1188,L40S
393,2048,2,2,2.722815990447998,8598,1188,L40S
394,2048,1,0,2.702336072921753,8598,1188,L40S
395,8192,8,4,2.697728157043457,8598,1188,L40S
396,2048,1,3,2.855423927307129,8598,1188,L40S
397,8192,4,5,2.716671943664551,8598,1188,L40S
398,1024,4,2,3.4611198902130127,8598,1188,L40S
399,512,8,0,2.708479881286621,8598,1188,L40S
400,32,4,0,2.6941440105438232,8598,1188,L40S
401,32,16,5,2.6992640495300293,8598,1188,L40S
402,512,32,5,0.09523200243711472,11562,478,L40S
403,4096,8,2,0.06656000018119812,11562,478,L40S
404,64,1,1,0.07782399654388428,11562,478,L40S
405,256,16,2,0.08601599931716919,11562,478,L40S
406,128,32,2,0.20479999482631683,11562,478,L40S
407,1024,4,5,0.07065600156784058,11562,478,L40S
408,32,32,2,0.6799359917640686,11562,478,L40S
409,4096,8,4,0.06758400052785873,11562,478,L40S
410,2048,8,3,0.06860800087451935,11562,478,L40S
411,2048,1,2,0.05632000043988228,11562,478,L40S
412,2048,1,3,2.7054080963134766,11562,478,L40S
413,2048,1,0,2.746367931365967,11562,478,L40S
414,16,1,2,2.692095994949341,11562,478,L40S
415,2048,8,5,2.6997759342193604,11562,478,L40S
416,256,8,2,2.718207836151123,11562,478,L40S
417,8192,4,5,2.771967887878418,11562,478,L40S
418,32,4,5,2.8733439445495605,11562,478,L40S
419,16,32,2,2.7392001152038574,11562,478,L40S
420,2048,2,2,2.73305606842041,11562,478,L40S
